node,intermediate_visits,in_degree,out_degree
|1,0,0,485
1|1,0,3,164
2|1,6,3,207
1*2|1,83,32,89
3|1,2,2,233
4|1,0,1,276
1*4|1,0,7,109
2*4|1,5,5,132
1*2*4|1,0,12,67
3*4|1,0,3,129
1*3*4|1,0,479,0
5|1,3,3,187
1*5|1,0,7,78
2*5|1,5,12,97
3*5|1,0,6,90
4*5|1,1,7,94
1*4*5|1,1,18,44
2*4*5|1,0,15,56
1*2*4*5|1,6,36,31
3*4*5|1,0,16,47
2*3*4*5|1,0,26,35
6|1,0,2,256
1*6|1,3,10,92
2*6|1,1,7,114
3*6|1,0,5,125
4*6|1,0,4,137
1*4*6|1,0,15,55
2*4*6|1,2,12,67
1*2*4*6|1,0,21,35
3*4*6|1,0,8,66
5*6|1,2,7,98
1*5*6|1,0,12,48
2*5*6|1,11,20,51
3*5*6|1,0,12,48
4*5*6|1,0,15,43
1*4*5*6|1,0,34,22
2*4*5*6|1,0,33,26
1*2*4*5*6|1,1,67,16
3*4*5*6|1,0,33,22
2*3*4*5*6|1,2,53,22
7|1,0,1,300
1*7|1,4,5,164
4*7|1,0,4,147
1*4*7|1,2,14,62
2*4*7|1,1,12,72
1*2*4*7|1,0,21,40
3*4*7|1,0,8,74
5*7|1,4,9,109
1*5*7|1,0,12,51
3*5*7|1,0,14,57
4*5*7|1,68,54,42
6*7|1,2,3,256
4*6*7|1,0,8,75
1*4*6*7|1,1,26,31
2*4*6*7|1,0,22,39
1*2*4*6*7|1,0,36,21
3*4*6*7|1,0,15,40
5*6*7|1,0,11,60
1*5*6*7|1,0,21,31
2*5*6*7|1,22,28,51
3*5*6*7|1,0,20,29
4*5*6*7|1,6,98,19
8|1,0,2,208
1*8|1,6,9,76
2*8|1,3,8,95
1*2*8|1,65,78,45
3*8|1,3,5,105
4*8|1,1,5,124
1*4*8|1,10,18,109
2*4*8|1,5,17,64
1*2*4*8|1,25,27,67
3*4*8|1,1,11,59
5*8|1,4,4,187
1*5*8|1,2,11,78
2*5*8|1,7,15,97
3*5*8|1,2,10,90
4*5*8|1,2,9,94
1*4*5*8|1,0,21,44
2*4*5*8|1,0,19,56
1*2*4*5*8|1,0,42,31
3*4*5*8|1,1,20,47
2*3*4*5*8|1,0,32,35
6*8|1,1,6,102
1*6*8|1,3,20,38
2*6*8|1,10,29,48
3*6*8|1,0,12,57
4*6*8|1,2,12,57
1*4*6*8|1,2,38,25
2*4*6*8|1,0,36,30
1*2*4*6*8|1,8,49,35
3*4*6*8|1,0,24,29
5*6*8|1,0,10,38
1*5*6*8|1,0,23,20
2*5*6*8|1,5,35,21
3*5*6*8|1,0,22,23
4*5*6*8|1,3,20,43
1*4*5*6*8|1,1,43,22
2*4*5*6*8|1,0,43,26
1*2*4*5*6*8|1,0,82,16
3*4*5*6*8|1,3,68,22
7*8|1,0,3,123
1*7*8|1,92,20,49
2*7*8|1,2,15,58
3*7*8|1,4,11,68
4*7*8|1,10,7,147
1*4*7*8|1,6,15,63
2*4*7*8|1,6,21,72
1*2*4*7*8|1,0,30,40
3*4*7*8|1,17,14,78
5*7*8|1,24,28,109
1*5*7*8|1,86,26,109
4*5*7*8|1,15,66,42
6*7*8|1,3,12,63
1*6*7*8|1,15,40,24
3*6*7*8|1,1,22,40
4*6*7*8|1,7,29,30
1*4*6*7*8|1,7,31,33
2*4*6*7*8|1,8,41,30
1*2*4*6*7*8|1,0,55,21
5*6*7*8|1,24,57,60
1*5*6*7*8|1,6,45,31
4*5*6*7*8|1,11,179,19
9|1,2,2,207
1*9|1,231,26,64
2*9|1,2,6,83
1*2*9|1,321,42,89
3*9|1,0,4,90
4*9|1,0,3,125
1*4*9|1,1,14,42
2*4*9|1,5,20,50
1*2*4*9|1,3,50,20
3*4*9|1,3,13,51
5*9|1,21,8,101
2*5*9|1,7,20,48
3*5*9|1,0,15,43
4*5*9|1,1,15,55
1*4*5*9|1,6,54,20
2*4*5*9|1,2,52,28
1*2*4*5*9|1,0,80,11
3*4*5*9|1,0,32,24
6*9|1,0,5,111
1*6*9|1,219,49,38
2*6*9|1,3,13,46
3*6*9|1,0,9,52
4*6*9|1,0,8,62
1*4*6*9|1,0,28,21
2*4*6*9|1,2,37,25
1*2*4*6*9|1,3,93,11
3*4*6*9|1,0,25,28
5*6*9|1,3,15,48
2*5*6*9|1,7,40,23
3*5*6*9|1,0,28,21
4*5*6*9|1,0,31,24
1*4*5*6*9|1,12,105,10
2*4*5*6*9|1,1,102,12
1*2*4*5*6*9|1,0,156,6
3*4*5*6*9|1,0,64,11
4*7*9|1,0,7,79
1*4*7*9|1,0,24,25
1*2*4*7*9|1,4,80,20
4*5*7*9|1,0,22,30
1*4*5*7*9|1,4,83,11
2*4*5*7*9|1,0,87,15
1*2*4*5*7*9|1,1,129,6
3*4*5*7*9|1,0,39,13
4*6*7*9|1,0,14,41
1*4*6*7*9|1,0,45,12
1*2*4*6*7*9|1,3,149,11
4*5*6*7*9|1,0,65,13
1*4*5*6*7*9|1,1,159,5
2*4*5*6*7*9|1,1,164,7
1*2*4*5*6*7*9|1,0,247,3
3*4*5*6*7*9|1,0,115,6
8*9|1,5,9,94
1*8*9|1,3,29,33
2*8*9|1,2,24,41
1*2*8*9|1,17,103,19
3*8*9|1,1,17,41
4*8*9|1,0,11,61
1*4*8*9|1,12,37,42
2*4*8*9|1,1,37,28
3*4*8*9|1,0,23,24
