node,intermediate_visits,in_degree,out_degree
|1,0,0,37
1|1,8,4,16
2|1,8,22,3
3|1,4,11,2
2*3|1,0,25,0
4|1,6,4,22
5|1,25,8,14
6|1,8,5,13
4*6|1,17,4,22
7|1,19,5,23
1*7|1,0,6,10
5*7|1,3,6,13
1*5*7|1,2,8,7
4*5*7|1,4,8,8
1*4*5*7|1,0,8,5
8|1,1,2,34
9|1,8,6,12
1*9|1,16,30,4
3*9|1,2,11,3
4*9|1,2,7,10
5*9|1,10,11,6
4*5*9|1,12,13,6
10|1,0,2,18
1*10|1,3,11,6
2*10|1,0,21,1
4*10|1,4,10,8
5*10|1,25,16,8
1*7*10|1,0,16,3
2*7*10|1,0,35,0
4*7*10|1,5,15,4
1*4*7*10|1,0,23,2
5*7*10|1,0,9,6
8*10|1,0,4,17
4*7*9*10|1,0,13,2
11|1,0,1,34
1*11|1,0,6,12
1*7*11|1,0,7,7
1*4*7*11|1,0,10,5
