node,intermediate_visits,in_degree,out_degree
|1,0,0,25
1|1,30,4,13
2|1,33,22,3
3|1,4,11,2
2*3|1,0,18,0
4|1,15,4,17
5|1,28,7,10
6|1,3,5,7
4*6|1,20,3,17
7|1,31,5,18
1*7|1,0,6,8
5*7|1,2,5,9
1*5*7|1,11,3,7
4*5*7|1,4,5,6
1*4*5*7|1,0,1,5
8|1,0,2,22
9|1,8,6,9
1*9|1,8,24,2
3*9|1,2,11,2
4*9|1,8,7,9
5*9|1,12,9,4
4*5*9|1,9,8,4
10|1,0,2,14
1*10|1,7,11,5
2*10|1,2,21,1
4*10|1,10,10,6
5*10|1,24,14,5
1*7*10|1,14,9,3
2*7*10|1,0,20,0
4*7*10|1,6,10,2
1*4*7*10|1,0,5,2
5*7*10|1,1,6,4
8*10|1,0,4,13
4*7*9*10|1,0,4,1
11|1,0,1,22
1*11|1,0,6,8
1*7*11|1,14,5,6
1*4*7*11|1,0,1,4
