node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,1,79,57
2|1,3,58,110
1*2|1,8,79,59
3|1,12,59,108
1*3|1,1,80,57
2*3|1,0,59,108
1*2*3|1,6,80,59
4|1,0,92,52
1*4|1,17,113,52
2*4|1,11,92,53
1*2*4|1,242,113,112
3*4|1,15,94,51
1*3*4|1,16,115,52
2*3*4|1,4,94,53
1*2*3*4|1,23,115,53
5|1,0,60,108
1*5|1,1,81,56
2*5|1,8,60,112
1*2*5|1,5,81,58
3*5|1,1,61,108
1*3*5|1,4,82,57
2*3*5|1,2,61,110
1*2*3*5|1,4,82,58
4*5|1,0,94,52
1*4*5|1,166,115,110
2*4*5|1,5,94,53
1*2*4*5|1,119,115,112
3*4*5|1,5,96,52
1*3*4*5|1,18,117,52
2*3*4*5|1,5,96,53
1*2*3*4*5|1,15,117,53
|2,0,0,109
1|2,52,81,55
2|2,1,58,109
3|2,45,82,55
4|2,23,115,43
3*4|2,8,117,30
5|2,0,60,108
2*5|2,2,60,110
|3,0,0,109
1|3,4,79,57
2|3,4,58,111
1*2|3,5,79,58
3|3,5,59,108
1*3|3,0,80,56
2*3|3,1,59,109
1*2*3|3,2,80,58
4|3,19,93,52
1*4|3,154,112,109
2*4|3,21,114,53
1*2*4|3,117,81,112
3*4|3,0,94,52
1*3*4|3,15,115,52
2*3*4|3,5,94,53
1*2*3*4|3,20,115,53
5|3,19,60,108
1*5|3,151,81,108
2*5|3,15,60,112
3*5|3,0,61,58
1*3*5|3,39,82,56
2*3*5|3,4,61,65
4*5|3,25,98,52
1*4*5|3,149,115,109
3*4*5|3,35,96,52
1*3*4*5|3,15,117,52
|4,0,0,109
1|4,0,79,57
2|4,6,59,111
1*2|4,21,81,58
3|4,10,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,23,82,58
4|4,13,93,52
1*4|4,87,112,109
2*4|4,15,95,53
1*2*4|4,121,115,112
3*4|4,2,93,52
1*3*4|4,13,115,52
2*3*4|4,19,96,53
1*2*3*4|4,27,117,53
5|4,18,60,108
1*5|4,61,81,108
3*5|4,30,61,108
1*3*5|4,74,82,108
4*5|4,50,93,108
1*4*5|4,20,115,108
3*4*5|4,112,95,108
1*3*4*5|4,64,116,109
|5,0,0,109
1|5,3,79,57
2|5,38,60,112
1*2|5,113,81,112
3|5,9,59,108
1*3|5,0,80,57
2*3|5,2,59,110
1*2*3|5,2,81,59
4|5,5,92,52
1*4|5,68,113,108
2*4|5,115,94,112
1*2*4|5,57,115,112
3*4|5,7,94,52
1*3*4|5,11,115,52
2*3*4|5,26,95,53
1*2*3*4|5,11,116,53
5|5,0,60,108
1*5|5,14,81,109
2*5|5,2,20,112
1*2*5|5,8,27,112
3*5|5,1,61,108
1*3*5|5,44,82,108
2*3*5|5,16,61,112
1*2*3*5|5,24,82,112
4*5|5,24,93,109
1*4*5|5,64,113,109
2*4*5|5,6,30,112
3*4*5|5,428,116,109
