node,intermediate_visits,in_degree,out_degree
|1,0,0,66
1|1,19,9,45
2|1,3,9,47
1*2|1,20,18,31
3|1,0,9,44
1*3|1,8,18,27
2*3|1,2,18,27
1*2*3|1,12,30,17
4|1,5,9,43
1*4|1,8,18,26
2*4|1,1,18,25
1*2*4|1,7,30,17
3*4|1,21,19,24
1*3*4|1,1,31,13
2*3*4|1,4,31,14
1*2*3*4|1,1,44,8
5|1,0,9,43
1*5|1,7,18,24
2*5|1,18,18,32
1*2*5|1,6,28,19
3*5|1,1,18,22
1*3*5|1,1,30,12
2*3*5|1,12,29,16
1*2*3*5|1,0,38,9
4*5|1,5,18,20
1*4*5|1,1,30,11
2*4*5|1,1,28,16
1*2*4*5|1,0,36,9
3*4*5|1,0,31,9
1*3*4*5|1,0,43,5
2*3*4*5|1,0,38,7
1*2*3*4*5|1,0,46,4
|2,0,0,66
1|2,387,33,43
2|2,5,9,44
3|2,847,63,44
4|2,826,61,29
3*4|2,1401,117,24
5|2,2,9,43
2*5|2,15,18,31
|3,0,0,66
1|3,15,9,45
2|3,4,9,48
1*2|3,7,18,31
3|3,0,9,44
1*3|3,13,18,27
2*3|3,4,18,27
1*2*3|3,3,30,17
4|3,824,10,43
1*4|3,112,18,26
2*4|3,97,19,29
1*2*4|3,1,29,17
3*4|3,18,19,24
1*3*4|3,0,30,13
2*3*4|3,0,30,15
1*2*3*4|3,0,43,8
5|3,0,9,43
1*5|3,23,33,24
2*5|3,9,18,32
3*5|3,4,18,22
1*3*5|3,8,53,12
2*3*5|3,6,29,16
4*5|3,21,33,20
1*4*5|3,3,51,11
3*4*5|3,8,53,9
1*3*4*5|3,1,71,5
|4,0,0,66
1|4,15,9,45
2|4,4,9,48
1*2|4,31,20,31
3|4,0,9,44
1*3|4,3,18,27
2*3|4,4,18,27
1*2*3|4,7,32,17
4|4,72,9,43
1*4|4,18,17,26
2*4|4,18,19,29
1*2*4|4,6,29,17
3*4|4,7,17,24
1*3*4|4,0,30,13
2*3*4|4,8,33,15
1*2*3*4|4,0,43,8
5|4,66,18,43
1*5|4,14,26,24
3*5|4,32,34,22
1*3*5|4,11,47,12
4*5|4,7,31,20
1*4*5|4,7,49,11
3*4*5|4,1,46,9
1*3*4*5|4,3,70,5
|5,0,0,66
1|5,19,9,45
2|5,10,9,48
1*2|5,4,18,31
3|5,0,9,44
1*3|5,7,18,27
2*3|5,11,18,27
1*2*3|5,0,30,17
4|5,42,9,43
1*4|5,8,18,26
2*4|5,16,18,29
1*2*4|5,2,30,17
3*4|5,7,19,24
1*3*4|5,0,31,13
2*3*4|5,0,31,15
1*2*3*4|5,0,44,8
5|5,0,9,43
1*5|5,15,18,24
2*5|5,7,15,32
1*2*5|5,8,26,19
3*5|5,2,18,22
1*3*5|5,1,30,12
2*3*5|5,6,28,16
1*2*3*5|5,0,38,9
4*5|5,4,17,20
1*4*5|5,12,48,11
2*4*5|5,3,26,16
3*4*5|5,104,96,9
