node,intermediate_visits,in_degree,out_degree
|1,0,0,113
1|1,0,9,57
2|1,0,9,63
1*2|1,3,18,35
3|1,0,9,55
1*3|1,0,18,28
2*3|1,0,18,29
1*2*3|1,1,35,17
4|1,0,9,53
1*4|1,0,18,27
2*4|1,1,18,28
1*2*4|1,3,35,17
3*4|1,15,19,25
1*3*4|1,0,36,13
2*3*4|1,0,36,14
1*2*3*4|1,1,69,8
5|1,0,9,51
1*5|1,0,18,25
2*5|1,11,18,35
1*2*5|1,1,33,19
3*5|1,0,18,23
1*3*5|1,0,35,12
2*3*5|1,9,34,16
1*2*3*5|1,0,63,9
4*5|1,0,18,21
1*4*5|1,0,35,11
2*4*5|1,1,33,16
1*2*4*5|1,0,61,9
3*4*5|1,0,36,9
1*3*4*5|1,0,68,5
2*3*4*5|1,0,63,7
1*2*3*4*5|1,0,117,4
|2,0,0,113
1|2,347,33,53
2|2,0,9,58
3|2,925,63,55
4|2,825,61,37
3*4|2,1314,117,27
5|2,0,9,51
2*5|2,9,18,34
|3,0,0,113
1|3,0,9,57
2|3,0,9,66
1*2|3,0,18,35
3|3,0,9,55
1*3|3,0,18,28
2*3|3,0,18,30
1*2*3|3,0,35,17
4|3,1040,10,53
1*4|3,0,18,27
2*4|3,0,19,32
1*2*4|3,0,34,17
3*4|3,31,19,25
1*3*4|3,0,35,13
2*3*4|3,1,35,15
1*2*3*4|3,0,68,8
5|3,0,9,51
1*5|3,15,33,25
2*5|3,2,18,35
3*5|3,0,18,23
1*3*5|3,8,63,12
2*3*5|3,0,34,16
4*5|3,14,33,21
1*4*5|3,1,61,11
3*4*5|3,4,63,9
1*3*4*5|3,1,117,5
|4,0,0,113
1|4,0,9,57
2|4,0,9,65
1*2|4,17,20,35
3|4,0,9,55
1*3|4,0,18,28
2*3|4,0,18,29
1*2*3|4,7,37,17
4|4,89,9,53
1*4|4,0,17,27
2*4|4,0,19,32
1*2*4|4,0,34,17
3*4|4,0,17,25
1*3*4|4,0,35,13
2*3*4|4,8,38,15
1*2*3*4|4,0,68,8
5|4,85,18,51
1*5|4,10,26,25
3*5|4,19,34,23
1*3*5|4,11,54,12
4*5|4,3,31,21
1*4*5|4,5,57,11
3*4*5|4,1,53,9
1*3*4*5|4,3,112,5
|5,0,0,113
1|5,1,9,57
2|5,8,9,66
1*2|5,2,18,35
3|5,0,9,55
1*3|5,0,18,28
2*3|5,0,18,30
1*2*3|5,0,35,17
4|5,52,9,53
1*4|5,0,18,27
2*4|5,0,18,32
1*2*4|5,0,35,17
3*4|5,1,19,25
1*3*4|5,0,36,13
2*3*4|5,0,36,15
1*2*3*4|5,0,69,8
5|5,0,9,51
1*5|5,0,18,25
2*5|5,0,15,35
1*2*5|5,0,31,19
3*5|5,0,18,23
1*3*5|5,0,35,12
2*3*5|5,1,33,16
1*2*3*5|5,0,61,9
4*5|5,0,17,21
1*4*5|5,9,57,11
2*4*5|5,0,31,16
3*4*5|5,101,114,9
