node,intermediate_visits,in_degree,out_degree
|1,0,0,44
1|1,17,49,31
2|1,10,33,58
1*2|1,16,55,38
3|1,1,30,61
1*3|1,13,54,39
2*3|1,6,36,71
1*2*3|1,22,49,42
4|1,7,54,30
1*4|1,22,77,36
2*4|1,2,62,36
1*2*4|1,129,72,73
3*4|1,0,63,35
1*3*4|1,27,71,38
2*3*4|1,6,59,38
1*2*3*4|1,23,54,34
5|1,5,37,57
1*5|1,11,58,36
2*5|1,39,42,73
1*2*5|1,14,52,42
3*5|1,13,38,71
1*3*5|1,5,51,39
2*3*5|1,11,37,71
1*2*3*5|1,2,39,36
4*5|1,7,64,34
1*4*5|1,81,73,72
2*4*5|1,4,63,39
1*2*4*5|1,59,55,56
3*4*5|1,11,62,37
1*3*4*5|1,10,55,34
2*3*4*5|1,5,48,34
1*2*3*4*5|1,12,37,28
|2,0,0,44
1|2,24,49,31
2|2,11,33,59
1*2|2,11,55,38
3|2,0,30,61
1*3|2,13,54,38
2*3|2,13,36,72
1*2*3|2,7,49,42
4|2,0,54,30
1*4|2,146,77,72
2*4|2,18,82,36
1*2*4|2,74,58,73
3*4|2,4,63,36
1*3*4|2,21,71,38
2*3*4|2,7,59,39
1*2*3*4|2,14,54,34
5|2,15,37,57
1*5|2,107,58,70
2*5|2,25,42,73
3*5|2,0,38,35
1*3*5|2,23,51,40
2*3*5|2,6,37,43
4*5|2,16,69,34
1*4*5|2,90,73,71
3*4*5|2,34,62,37
1*3*4*5|2,15,55,33
|3,0,0,44
1|3,16,49,30
2|3,47,42,60
1*2|3,128,58,75
3|3,0,30,61
1*3|3,1,54,38
2*3|3,4,36,73
1*2*3|3,6,50,42
4|3,0,54,30
1*4|3,62,79,71
2*4|3,184,69,74
1*2*4|3,66,73,73
3*4|3,11,63,36
1*3*4|3,18,71,38
2*3*4|3,9,60,39
1*2*3*4|3,10,54,34
5|3,4,37,57
1*5|3,55,58,71
2*5|3,6,18,73
1*2*5|3,36,23,73
3*5|3,25,38,70
1*3*5|3,87,51,72
2*3*5|3,21,37,73
1*2*3*5|3,63,37,59
4*5|3,97,64,70
1*4*5|3,41,72,71
2*4*5|3,35,25,73
3*4*5|3,490,73,71
