node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,0,56,41
2|1,5,40,80
1*2|1,3,56,43
3|1,0,40,78
1*3|1,1,56,41
2*3|1,0,40,78
1*2*3|1,3,56,43
4|1,0,67,38
1*4|1,17,83,38
2*4|1,6,67,39
1*2*4|1,225,83,82
3*4|1,0,67,37
1*3*4|1,17,83,38
2*3*4|1,1,67,39
1*2*3*4|1,21,83,39
5|1,0,42,78
1*5|1,0,58,40
2*5|1,9,42,82
1*2*5|1,2,58,42
3*5|1,2,42,78
1*3*5|1,0,58,41
2*3*5|1,6,42,80
1*2*3*5|1,1,58,42
4*5|1,0,69,38
1*4*5|1,185,85,80
2*4*5|1,1,69,39
1*2*4*5|1,113,85,82
3*4*5|1,0,69,38
1*3*4*5|1,13,85,38
2*3*4*5|1,1,69,39
1*2*3*4*5|1,14,85,39
|2,0,0,79
1|2,4,56,41
2|2,7,40,81
1*2|2,2,56,42
3|2,0,40,78
1*3|2,0,56,40
2*3|2,1,40,79
1*2*3|2,1,56,42
4|2,0,67,38
1*4|2,127,83,79
2*4|2,12,83,39
1*2*4|2,109,64,82
3*4|2,0,67,38
1*3*4|2,14,83,38
2*3*4|2,1,67,39
1*2*3*4|2,16,83,39
5|2,18,42,78
1*5|2,142,58,78
2*5|2,20,42,82
3*5|2,0,42,38
1*3*5|2,13,58,40
2*3*5|2,5,42,44
4*5|2,0,72,38
1*4*5|2,138,85,79
3*4*5|2,26,69,38
1*3*4*5|2,9,85,38
|3,0,0,79
1|3,0,56,41
2|3,13,42,82
1*2|3,89,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,2,40,80
1*2*3|3,1,57,43
4|3,0,67,38
1*4|3,67,83,78
2*4|3,88,69,82
1*2*4|3,41,85,82
3*4|3,0,67,38
1*3*4|3,11,83,38
2*3*4|3,3,68,39
1*2*3*4|3,8,84,39
5|3,0,42,78
1*5|3,13,58,79
2*5|3,0,18,82
1*2*5|3,7,23,82
3*5|3,2,42,78
1*3*5|3,36,58,78
2*3*5|3,8,42,82
1*2*3*5|3,24,58,82
4*5|3,21,69,79
1*4*5|3,8,85,79
2*4*5|3,6,25,82
3*4*5|3,280,85,79
