s,f,a,add,del,temp,a_str,start,final
1,2,265722,1,0,0,(+1),|1,1|1
1,3,265724,1,0,0,(+2),|1,2|1
1,4,265725,2,0,0,(+1  2),|1,1*2|1
1,5,265730,1,0,0,(+3),|1,3|1
1,6,265731,2,0,0,(+1  3),|1,1*3|1
1,9,265748,1,0,0,(+4),|1,4|1
1,10,265749,2,0,0,(+1  4),|1,1*4|1
1,13,265757,2,0,0,(+3  4),|1,3*4|1
1,14,265758,3,0,0,(+1  3  4),|1,1*3*4|1
1,17,265802,1,0,0,(+5),|1,5|1
1,18,265803,2,0,0,(+1  5),|1,1*5|1
1,19,265805,2,0,0,(+2  5),|1,2*5|1
1,20,265806,3,0,0,(+1  2  5),|1,1*2*5|1
1,25,265829,2,0,0,(+4  5),|1,4*5|1
1,26,265830,3,0,0,(+1  4  5),|1,1*4*5|1
1,29,265838,3,0,0,(+3  4  5),|1,3*4*5|1
1,30,265839,4,0,0,(+1  3  4  5),|1,1*3*4*5|1
1,33,265964,1,0,0,(+6),|1,6|1
1,34,265965,2,0,0,(+1  6),|1,1*6|1
1,35,265967,2,0,0,(+2  6),|1,2*6|1
1,36,265968,3,0,0,(+1  2  6),|1,1*2*6|1
1,37,265973,2,0,0,(+3  6),|1,3*6|1
1,38,265974,3,0,0,(+1  3  6),|1,1*3*6|1
1,41,265991,2,0,0,(+4  6),|1,4*6|1
1,42,265992,3,0,0,(+1  4  6),|1,1*4*6|1
1,45,266000,3,0,0,(+3  4  6),|1,3*4*6|1
1,46,266001,4,0,0,(+1  3  4  6),|1,1*3*4*6|1
1,54,266055,4,0,0,(+1  3  5  6),|1,1*3*5*6|1
1,57,266072,3,0,0,(+4  5  6),|1,4*5*6|1
1,61,266081,4,0,0,(+3  4  5  6),|1,3*4*5*6|1
1,65,266450,1,0,0,(+7),|1,7|1
1,66,266451,2,0,0,(+1  7),|1,1*7|1
1,67,266453,2,0,0,(+2  7),|1,2*7|1
1,68,266454,3,0,0,(+1  2  7),|1,1*2*7|1
1,69,266459,2,0,0,(+3  7),|1,3*7|1
1,70,266460,3,0,0,(+1  3  7),|1,1*3*7|1
1,73,266477,2,0,0,(+4  7),|1,4*7|1
1,74,266478,3,0,0,(+1  4  7),|1,1*4*7|1
1,81,266531,2,0,0,(+5  7),|1,5*7|1
1,82,266532,3,0,0,(+1  5  7),|1,1*5*7|1
1,89,266558,3,0,0,(+4  5  7),|1,4*5*7|1
