node,intermediate_visits,in_degree,out_degree
|1,0,0,64
1|1,17,2,35
2|1,0,1,51
1*2|1,10,5,26
3|1,54,12,24
1*3|1,39,34,15
4|1,13,4,34
1*4|1,8,14,15
3*4|1,15,11,22
1*3*4|1,9,17,10
5|1,9,3,34
1*5|1,12,20,14
2*5|1,18,7,28
1*2*5|1,18,29,12
4*5|1,5,7,21
1*4*5|1,6,37,6
3*4*5|1,3,10,15
1*3*4*5|1,3,32,4
6|1,4,2,44
1*6|1,20,19,21
2*6|1,1,5,35
1*2*6|1,25,28,16
3*6|1,11,17,19
1*3*6|1,8,28,10
4*6|1,5,7,24
1*4*6|1,5,33,9
3*4*6|1,9,11,17
1*3*4*6|1,8,26,7
1*3*5*6|1,6,13,7
4*5*6|1,3,7,18
3*4*5*6|1,4,7,13
7|1,12,3,30
1*7|1,5,10,16
2*7|1,4,5,24
1*2*7|1,11,22,12
3*7|1,7,29,13
1*3*7|1,4,25,8
4*7|1,17,38,9
1*4*7|1,5,37,4
5*7|1,18,39,9
1*5*7|1,6,51,3
4*5*7|1,11,41,5
1*4*5*7|1,0,50,1
6*7|1,17,18,20
1*6*7|1,4,16,10
2*6*7|1,1,17,16
1*2*6*7|1,1,23,8
3*6*7|1,4,27,11
1*3*6*7|1,0,20,6
4*6*7|1,7,43,7
1*4*6*7|1,0,34,3
8|1,0,1,52
2*8|1,2,3,43
3*8|1,49,25,21
4*8|1,1,9,28
3*4*8|1,9,15,20
5*8|1,14,7,29
2*5*8|1,14,12,24
4*5*8|1,3,11,18
3*4*5*8|1,0,9,13
6*8|1,15,7,33
2*6*8|1,7,11,28
3*6*8|1,7,22,15
4*6*8|1,5,14,19
3*4*6*8|1,2,14,14
3*5*6*8|1,0,11,13
4*5*6*8|1,4,10,15
3*4*5*6*8|1,2,12,11
9|1,4,1,39
1*9|1,16,25,11
2*9|1,13,18,22
1*2*9|1,6,52,8
3*9|1,28,61,11
1*3*9|1,2,49,6
4*9|1,14,37,10
1*4*9|1,4,72,3
3*4*9|1,6,34,8
5*9|1,16,23,12
1*5*9|1,3,65,3
2*5*9|1,1,29,10
3*5*9|1,3,48,8
4*5*9|1,7,49,5
1*4*5*9|1,0,50,1
6*9|1,4,3,34
7*9|1,10,14,15
1*7*9|1,2,39,5
2*7*9|1,5,31,10
1*2*7*9|1,6,32,4
3*7*9|1,3,51,7
1*3*7*9|1,0,27,3
4*7*9|1,5,69,4
1*4*7*9|1,0,39,1
5*7*9|1,3,39,5
1*5*7*9|1,0,38,1
4*5*7*9|1,0,26,2
1*4*5*7*9|1,0,25,0
8*9|1,4,3,32
6*8*9|1,2,9,29
10|1,0,1,54
1*10|1,9,5,32
2*10|1,6,3,41
1*2*10|1,4,9,24
4*10|1,16,9,28
1*4*10|1,7,19,14
5*10|1,13,7,28
2*5*10|1,8,12,23
4*5*10|1,3,11,16
6*10|1,5,5,38
2*6*10|1,1,9,29
4*6*10|1,0,11,20
4*5*6*10|1,5,10,13
3*4*5*6*10|1,0,7,9
7*10|1,1,5,25
2*7*10|1,2,17,19
5*7*10|1,7,35,6
4*5*7*10|1,1,33,3
2*6*7*10|1,0,18,13
8*10|1,1,3,44
2*8*10|1,0,6,33
4*8*10|1,7,15,23
5*8*10|1,10,12,24
2*5*8*10|1,9,18,20
4*5*8*10|1,1,16,13
3*4*5*8*10|1,0,9,9
6*8*10|1,5,10,28
2*6*8*10|1,4,15,22
4*6*8*10|1,11,17,15
3*4*6*8*10|1,0,9,11
4*5*6*8*10|1,1,14,11
3*4*5*6*8*10|1,1,13,8
9*10|1,1,3,31
2*9*10|1,5,26,16
4*9*10|1,4,49,7
3*4*9*10|1,3,27,6
5*9*10|1,2,33,8
2*5*9*10|1,1,31,7
4*5*9*10|1,1,48,3
6*9*10|1,2,6,27
7*9*10|1,0,19,11
2*7*9*10|1,0,33,8
5*7*9*10|1,0,34,3
4*5*7*9*10|1,0,23,1
8*9*10|1,3,6,24
2*8*9*10|1,1,30,15
6*8*9*10|1,2,12,22
11|1,1,1,53
1*11|1,17,13,28
2*11|1,4,3,45
1*2*11|1,5,17,24
7*11|1,11,12,25
1*7*11|1,6,13,15
2*7*11|1,1,9,23
8*11|1,0,3,42
2*8*11|1,4,6,37
9*11|1,2,3,31
1*9*11|1,2,32,10
2*9*11|1,1,15,21
6*9*11|1,2,10,27
7*9*11|1,1,18,13
8*9*11|1,3,9,26
2*8*9*11|1,1,14,19
6*8*9*11|1,0,10,24
10*11|1,1,3,46
2*10*11|1,0,6,38
8*10*11|1,0,6,36
2*8*10*11|1,3,10,31
9*10*11|1,0,6,25
6*9*10*11|1,0,8,21
7*9*10*11|1,0,21,10
8*9*10*11|1,0,11,20
6*8*9*10*11|1,1,14,19
12|1,13,4,36
1*12|1,1,7,26
2*12|1,22,18,27
1*2*12|1,4,18,18
3*12|1,19,31,17
1*3*12|1,8,21,13
4*12|1,8,23,19
1*4*12|1,1,18,11
3*4*12|1,2,13,14
1*3*4*12|1,1,13,8
5*12|1,16,19,19
1*5*12|1,2,14,10
2*5*12|1,7,26,17
1*2*5*12|1,3,17,9
4*5*12|1,10,33,10
1*4*5*12|1,0,24,4
3*4*5*12|1,6,30,7
1*3*4*5*12|1,0,22,3
6*12|1,13,8,33
2*6*12|1,14,12,27
3*6*12|1,5,13,16
4*6*12|1,11,14,18
3*4*6*12|1,6,12,12
2*7*12|1,4,17,20
1*2*7*12|1,2,13,11
9*12|1,3,5,32
